"Controller","duration_d","CO2_total_gh"
"Adrian's Farm-House 2",0.00138888888888889,3.60310225446675
"Adrian's Farm-House 3",0.00138888888888889,2.33089882248019
"Adrian's Farm-House 4",0.00138888888888889,4.23670971380898
"Adrian's Farm-House 2",0.00277777777777778,3.13641404939863
"Adrian's Farm-House 3",0.00277777777777778,2.35923801789028
"Adrian's Farm-House 4",0.00277777777777778,4.22254011610393
"Adrian's Farm-House 2",0.00416666666666667,2.9574637505684
"Adrian's Farm-House 3",0.00416666666666667,1.69046019914768
"Adrian's Farm-House 4",0.00416666666666667,4.20837051839889
"Adrian's Farm-House 2",0.00554398148148148,2.5073731799319
"Adrian's Farm-House 3",0.00554398148148148,1.12437484789762
"Adrian's Farm-House 4",0.00554398148148148,4.26645860973443
"Adrian's Farm-House 2",0.00694444444444444,2.42673030180445
"Adrian's Farm-House 3",0.00694444444444444,1.09407732205607
"Adrian's Farm-House 4",0.00694444444444444,4.19558720425712
"Adrian's Farm-House 2",0.00833333333333333,2.39695446988047
"Adrian's Farm-House 3",0.00833333333333333,1.08397814677555
"Adrian's Farm-House 4",0.00833333333333333,4.19558720425712
"Adrian's Farm-House 2",0.00972222222222222,2.47139404969042
"Adrian's Farm-House 3",0.00972222222222222,1.10417649733659
"Adrian's Farm-House 4",0.00972222222222222,4.18141292316165
"Adrian's Farm-House 2",0.0111111111111111,2.15094938231805
"Adrian's Farm-House 3",0.0111111111111111,0.821045232454708
"Adrian's Farm-House 4",0.0111111111111111,3.98580784404426
"Adrian's Farm-House 2",0.0125,2.44906217574743
"Adrian's Farm-House 3",0.0125,0.441706034637373
"Adrian's Farm-House 4",0.0125,0.368531308482044
"Adrian's Farm-House 2",0.0138888888888889,2.68230619248528
"Adrian's Farm-House 3",0.0138888888888889,0.739365937642101
"Adrian's Farm-House 4",0.0138888888888889,4.57829279383462
"Adrian's Farm-House 2",0.0152777777777778,2.42061839182192
"Adrian's Farm-House 3",0.0152777777777778,1.09443906030109
"Adrian's Farm-House 4",0.0152777777777778,5.68743028955462
"Adrian's Farm-House 2",0.0166550925925926,1.88926313508052
"Adrian's Farm-House 3",0.0166550925925926,1.15204111610641
"Adrian's Farm-House 4",0.0166550925925926,5.70851453268412
"Adrian's Farm-House 2",0.0180555555555556,2.36867074743579
"Adrian's Farm-House 3",0.0180555555555556,1.58804436927898
"Adrian's Farm-House 4",0.0180555555555556,6.10273672565169
"Adrian's Farm-House 2",0.0194444444444444,2.3163685116204
"Adrian's Farm-House 3",0.0194444444444444,1.56004090830286
"Adrian's Farm-House 4",0.0194444444444444,6.08501887428236
"Adrian's Farm-House 2",0.0208333333333333,2.17134061705435
"Adrian's Farm-House 3",0.0208333333333333,1.55047010518444
"Adrian's Farm-House 4",0.0208333333333333,5.8412212394404
"Adrian's Farm-House 2",0.0222222222222222,1.80823899349533
"Adrian's Farm-House 3",0.0222222222222222,1.08433654589831
"Adrian's Farm-House 4",0.0222222222222222,5.10274119436676
"Adrian's Farm-House 2",0.0236111111111111,1.80823899349533
"Adrian's Farm-House 3",0.0236111111111111,1.07760153629645
"Adrian's Farm-House 4",0.0236111111111111,5.08679512813436
"Adrian's Farm-House 2",0.025,1.81373516064881
"Adrian's Farm-House 3",0.025,1.11127658430572
"Adrian's Farm-House 4",0.025,5.10274119436676
"Adrian's Farm-House 2",0.0263888888888889,1.79175049203489
"Adrian's Farm-House 3",0.0263888888888889,1.05739650749089
"Adrian's Farm-House 4",0.0263888888888889,5.07084906190197
"Adrian's Farm-House 2",0.0277662037037037,1.80823899349533
"Adrian's Farm-House 3",0.0277662037037037,1.15913059989783
"Adrian's Farm-House 4",0.0277662037037037,5.07084906190197
"Adrian's Farm-House 2",0.0291666666666667,1.89493659794863
"Adrian's Farm-House 3",0.0291666666666667,1.10117406990294
"Adrian's Farm-House 4",0.0291666666666667,4.56376415571177
"Adrian's Farm-House 2",0.0305555555555556,2.42788751612168
"Adrian's Farm-House 3",0.0305555555555556,1.09780656510201
"Adrian's Farm-House 4",0.0305555555555556,4.57811561532093
"Adrian's Farm-House 2",0.0319444444444444,2.38427277032309
"Adrian's Farm-House 3",0.0319444444444444,1.10117406990294
"Adrian's Farm-House 4",0.0319444444444444,4.54941269610262
"Adrian's Farm-House 2",0.0333333333333333,2.39154189462286
"Adrian's Farm-House 3",0.0333333333333333,1.6658705346487
"Adrian's Farm-House 4",0.0333333333333333,4.59246707493009
"Adrian's Farm-House 2",0.0347222222222222,2.38427277032309
"Adrian's Farm-House 3",0.0347222222222222,1.67101211037293
"Adrian's Farm-House 4",0.0347222222222222,5.0884769912946
